run_id,strategy,use_trigger,seed,split,iteration,n_labels,accuracy,balanced_accuracy,macro_f1,max_uncertainty
random_split-random-s42,random,False,42,random_split,29,310,0.714987714987715,0.5947872220822107,0.5729114502231911,
random_split-random-s42,random,False,42,random_split,30,320,0.7125307125307125,0.5935572097820876,0.5723320158102766,
random_split-random-s42,random,False,42,random_split,31,330,0.7199017199017199,0.600903430033281,0.5785102919740792,
random_split-random-s42,random,False,42,random_split,32,340,0.7174447174447175,0.6089609927699685,0.5840175150519978,
random_split-random-s42,random,False,42,random_split,33,350,0.7223587223587223,0.6132491090456266,0.5886683661283204,
random_split-random-s42,random,False,42,random_split,34,360,0.7272727272727273,0.6138810419704605,0.5944487107718922,
random_split-random-s42,random,False,42,random_split,35,370,0.7199017199017199,0.6065348217192672,0.5895839210328742,
random_split-random-s42,random,False,42,random_split,36,380,0.7272727272727273,0.5898216168706029,0.5776072351421188,
random_split-random-s42,random,False,42,random_split,37,390,0.7174447174447175,0.6053048094191441,0.5889008594890949,
random_split-random-s42,random,False,42,random_split,38,400,0.714987714987715,0.6040747971190211,0.5861644242116496,
random_split-random-s43,random,False,43,random_split,0,20,0.8058968058968059,0.5460351851224935,0.5378526194588371,
random_split-random-s43,random,False,43,random_split,1,30,0.7616707616707616,0.5554138721815353,0.5599436987607785,
random_split-random-s43,random,False,43,random_split,2,40,0.7272727272727273,0.5235689665765159,0.5297389780483305,
random_split-random-s43,random,False,43,random_split,3,50,0.7616707616707616,0.5313544470816777,0.5318981148374022,
random_split-random-s43,random,False,43,random_split,4,60,0.7567567567567568,0.5288944224814317,0.5265227527240398,
random_split-random-s43,random,False,43,random_split,5,70,0.7444717444717445,0.5468037860806743,0.5482415115462449,
random_split-random-s43,random,False,43,random_split,6,80,0.7346437346437347,0.5197995201154866,0.5235854179859049,
random_split-random-s43,random,False,43,random_split,7,90,0.7493857493857494,0.5197201105548263,0.5216403999322149,
random_split-random-s43,random,False,43,random_split,8,100,0.7542997542997543,0.5092363767674374,0.5023419528283585,
random_split-random-s43,random,False,43,random_split,9,110,0.7493857493857494,0.528860568931887,0.5221202223368289,
random_split-random-s43,random,False,43,random_split,10,120,0.7125307125307125,0.5327888345142371,0.5342539082698893,
random_split-random-s43,random,False,43,random_split,11,130,0.7223587223587223,0.5247651253270943,0.5292447633631377,
random_split-random-s43,random,False,43,random_split,12,140,0.7346437346437347,0.5659431619800398,0.5642887260137934,
random_split-random-s43,random,False,43,random_split,13,150,0.7346437346437347,0.5548274952678172,0.5539232280364381,
random_split-random-s43,random,False,43,random_split,14,160,0.7493857493857494,0.5529199940317446,0.5534134352269963,
random_split-random-s43,random,False,43,random_split,15,170,0.7567567567567568,0.5436662725444789,0.5440652007439012,
random_split-random-s43,random,False,43,random_split,16,180,0.7542997542997543,0.5424362602443558,0.5417221569395483,
random_split-random-s43,random,False,43,random_split,17,190,0.7592137592137592,0.5356087098077912,0.5292091666189139,
random_split-random-s43,random,False,43,random_split,18,200,0.7665847665847666,0.537470655032748,0.534431580991214,
random_split-random-s43,random,False,43,random_split,19,210,0.7493857493857494,0.528860568931887,0.5258936582468031,
random_split-random-s43,random,False,43,random_split,20,220,0.7764127764127764,0.5460468875840644,0.5429287413232368,
random_split-random-s43,random,False,43,random_split,21,230,0.7714987714987716,0.5399306796329941,0.5374452662479295,
random_split-random-s43,random,False,43,random_split,22,240,0.7764127764127764,0.5535063709454627,0.557849051567499,
