run_id,strategy,seed,split,iteration,n_labels_before,zone,month,temperature,relative_humidity,comfort_class,triggered
random_split-random-s42,random,42,random_split,8,100,1,1,24.71153846153846,63.24901960784313,comfortable,False
random_split-random-s42,random,42,random_split,8,100,2,1,22.2,85.2,comfortable,True
random_split-random-s42,random,42,random_split,8,100,3,1,15.971428571428573,56.864285714285714,too_cool,True
random_split-random-s42,random,42,random_split,8,100,4,1,23.561904761904763,79.35333333333332,comfortable,True
random_split-random-s42,random,42,random_split,8,100,3,1,15.485714285714286,55.07666666666667,comfortable,True
random_split-random-s42,random,42,random_split,8,100,2,1,21.610000000000003,67.90384615384616,comfortable,True
random_split-random-s42,random,42,random_split,8,100,3,1,17.568421052631578,58.45,comfortable,True
random_split-random-s42,random,42,random_split,8,100,2,1,22.17142857142857,83.42962962962963,comfortable,True
random_split-random-s42,random,42,random_split,8,100,1,1,25.7625,57.48155339805825,too_warm,False
random_split-random-s42,random,42,random_split,8,100,1,1,25.064634146341465,63.989215686274505,comfortable,False
random_split-random-s42,random,42,random_split,9,110,1,1,25.65421686746988,55.85,comfortable,False
random_split-random-s42,random,42,random_split,9,110,1,1,24.93013698630137,64.05102040816327,too_cool,False
random_split-random-s42,random,42,random_split,9,110,1,1,24.425301204819277,64.45306122448979,comfortable,False
random_split-random-s42,random,42,random_split,9,110,2,1,22.116,81.928,comfortable,True
random_split-random-s42,random,42,random_split,9,110,3,1,17.277272727272727,59.32857142857143,too_cool,True
random_split-random-s42,random,42,random_split,9,110,4,1,25.685000000000002,69.45333333333333,comfortable,False
random_split-random-s42,random,42,random_split,9,110,1,1,25.234666666666666,62.589130434782604,comfortable,False
random_split-random-s42,random,42,random_split,9,110,2,1,22.04,81.096,comfortable,True
random_split-random-s42,random,42,random_split,9,110,2,1,22.3,79.632,comfortable,True
random_split-random-s42,random,42,random_split,9,110,3,1,17.36842105263158,58.38666666666667,comfortable,True
random_split-random-s42,random,42,random_split,10,120,2,1,22.164,85.036,comfortable,True
random_split-random-s42,random,42,random_split,10,120,3,1,17.57,58.269999999999996,too_cool,True
random_split-random-s42,random,42,random_split,10,120,2,1,21.736,72.86399999999999,comfortable,True
random_split-random-s42,random,42,random_split,10,120,1,1,24.629885057471267,63.716,comfortable,False
random_split-random-s42,random,42,random_split,10,120,4,1,24.455000000000002,70.81,comfortable,False
random_split-random-s42,random,42,random_split,10,120,2,1,21.988000000000003,75.348,too_cool,True
random_split-random-s42,random,42,random_split,10,120,4,1,23.9,79.79333333333334,comfortable,True
random_split-random-s42,random,42,random_split,10,120,3,1,15.405000000000001,53.733333333333334,too_cool,True
random_split-random-s42,random,42,random_split,10,120,2,1,21.66,68.016,too_cool,True
random_split-random-s42,random,42,random_split,10,120,1,1,25.207228915662647,62.325742574257426,comfortable,False
random_split-random-s42,random,42,random_split,11,130,2,1,21.765,72.36153846153846,too_cool,True
random_split-random-s42,random,42,random_split,11,130,4,1,23.805,80.73,comfortable,True
random_split-random-s42,random,42,random_split,11,130,2,1,21.9,75.092,comfortable,True
random_split-random-s42,random,42,random_split,11,130,4,1,24.91,77.60333333333332,comfortable,False
random_split-random-s42,random,42,random_split,11,130,1,1,25.23253012048193,69.8,comfortable,False
random_split-random-s42,random,42,random_split,11,130,1,1,25.03846153846154,64.09484536082473,comfortable,False
random_split-random-s42,random,42,random_split,11,130,3,1,16.917647058823526,58.27407407407408,too_cool,True
random_split-random-s42,random,42,random_split,11,130,4,1,24.121052631578948,81.19333333333334,comfortable,True
random_split-random-s42,random,42,random_split,11,130,3,1,17.465,60.36333333333334,too_cool,True
random_split-random-s42,random,42,random_split,11,130,2,1,22.0,81.09629629629629,too_cool,True
random_split-random-s42,random,42,random_split,12,140,3,1,17.255000000000003,59.480000000000004,comfortable,True
random_split-random-s42,random,42,random_split,12,140,4,1,25.755000000000003,76.41666666666667,comfortable,True
random_split-random-s42,random,42,random_split,12,140,4,1,23.904761904761905,79.64333333333335,comfortable,True
random_split-random-s42,random,42,random_split,12,140,4,1,27.140000000000004,68.63333333333334,comfortable,True
random_split-random-s42,random,42,random_split,12,140,3,1,17.435,58.70333333333333,too_cool,True
random_split-random-s42,random,42,random_split,12,140,4,1,26.32857142857143,76.42,comfortable,True
random_split-random-s42,random,42,random_split,12,140,4,1,26.494999999999997,67.06666666666666,comfortable,True
random_split-random-s42,random,42,random_split,12,140,3,1,17.56,59.05,too_cool,True
random_split-random-s42,random,42,random_split,12,140,2,1,21.8,75.124,comfortable,True
random_split-random-s42,random,42,random_split,12,140,2,1,21.855999999999998,75.62,comfortable,True
random_split-random-s42,random,42,random_split,13,150,2,1,21.996,73.292,too_cool,True
random_split-random-s42,random,42,random_split,13,150,3,1,17.085,57.416666666666664,too_cool,True
random_split-random-s42,random,42,random_split,13,150,2,1,21.9,78.32307692307693,comfortable,True
random_split-random-s42,random,42,random_split,13,150,3,1,15.626315789473683,55.906666666666666,too_cool,True
